Tape ID   Status    State            Usable(GB)  Used(GB)  Available(GB)  Reclaimable%  Pool        Library    Location  Task ID
B00001JE  ok        appendable            19485     19483              1            2%  gpfsODC001  BelferLib  homeslot  -      
B00002JE  ok        appendable            19485     19471             13            0%  gpfsODC001  BelferLib  homeslot  -      
B00003JE  ok        appendable            19485     19480              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00004JE  ok        appendable            19485     19483              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00005JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00006JE  ok        appendable            19485     19483              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00007JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00008JE  ok        appendable            19485     19476              8            0%  gpfsODC001  BelferLib  homeslot  -      
B00009JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00010JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00011JE  ok        appendable            19485     19474             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00012JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00013JE  ok        appendable            19485     19483              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00014JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00015JE  ok        appendable            19485     19481              3            2%  gpfsODC001  BelferLib  homeslot  -      
B00016JE  ok        appendable            19485     19481              3            2%  gpfsODC001  BelferLib  homeslot  -      
B00017JE  ok        appendable            19485     19480              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00018JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00019JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00020JE  ok        appendable            19485     19484              1            1%  gpfsODC001  BelferLib  homeslot  -      
B00021JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00022JE  ok        appendable            19485     19468             16            0%  gpfsODC001  BelferLib  homeslot  -      
B00023JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00024JE  ok        appendable            19485     19483              2            1%  gpfsODC001  BelferLib  homeslot  -      
B00025JE  ok        appendable            19485     19484              1            1%  gpfsODC001  BelferLib  homeslot  -      
B00026JE  ok        appendable            19485     19480              4            2%  gpfsODC001  BelferLib  homeslot  -      
B00027JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00028JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00029JE  ok        appendable            19485     19481              3            4%  gpfsODC001  BelferLib  homeslot  -      
B00030JE  ok        appendable            19485     19468             17            3%  gpfsODC001  BelferLib  homeslot  -      
B00031JE  ok        appendable            19485     19479              5            2%  gpfsODC001  BelferLib  homeslot  -      
B00032JE  ok        appendable            19485     19479              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00033JE  ok        appendable            19485     19480              5            3%  gpfsODC001  BelferLib  homeslot  -      
B00034JE  ok        appendable            19485     19482              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00035JE  error     missing                   0         0              0            0%  gpfsODC001  BelferLib  -         -      
B00036JE  ok        data_full             19485     19485              0            0%  gpfsODC001  BelferLib  homeslot  -      
B00037JE  ok        appendable            19485     19480              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00038JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00039JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00040JE  ok        appendable            19485     19480              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00041JE  ok        appendable            19485     19482              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00042JE  ok        appendable            19485     19482              2            4%  gpfsODC001  BelferLib  homeslot  -      
B00043JE  ok        appendable            19485     19480              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00044JE  ok        appendable            19485     19473             11            0%  gpfsODC001  BelferLib  homeslot  -      
B00045JE  ok        appendable            19485     19483              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00046JE  ok        appendable            19485     19474             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00047JE  ok        appendable            19485     19479              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00048JE  ok        appendable            19485     19472             12            0%  gpfsODC001  BelferLib  homeslot  -      
B00049JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00050JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00051JE  ok        data_full             19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00052JE  ok        appendable            19485     19477              8            0%  gpfsODC001  BelferLib  homeslot  -      
B00053JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00054JE  ok        appendable            19485     19480              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00055JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00056JE  ok        appendable            19485     19481              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00057JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00058JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00059JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00060JE  ok        appendable            19485     19482              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00061JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00062JE  ok        appendable            19485     19480              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00063JE  ok        data_full             19485     19484              0            0%  gpfsODC001  BelferLib  homeslot  -      
B00064JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00065JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00066JE  ok        appendable            19485     19479              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00067JE  ok        appendable            19485     19482              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00068JE  ok        appendable            19485     19481              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00069JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00070JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
